"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 4:10:43 p. m. EET","Sí","Mujer","31-38","Madrid","Posgrado","Alto / Medio-alto","Casado/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","2","3","2","1","2","2","3","2","3","4","1","2","De 26 a 30€","Menos de 15€"
"2021/03/14 4:11:13 p. m. EET","Sí","Mujer","39 o más","Barcelona","Grado universitario","Medio","Casado/a","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","1","4","4","1","1","4","4","4","4","4","4","4","4","4","4","Entre 26 y 35€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:12:15 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","Sí","Ambas opciones","4","1","4","4","4","4","1","4","4","1","1","2","4","1","4","4","4","4","4","4","4","4","3","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:12:43 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Regalo","4","4","4","3","4","4","4","3","4","2","1","4","2","1","3","4","4","4","4","4","1","2","1","4","4","Menos de 20€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:14:17 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","No","Uso personal","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","3","1","4","4","4","4","4","3","2","De 16 a 20€","De 31 a 35€"
"2021/03/14 4:14:45 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo;Platanomelón","Sí","Uso personal","4","3","3","4","3","4","4","4","3","2","2","3","4","1","2","3","4","4","3","4","4","4","4","3","4","Entre 26 y 35€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:15:14 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Uso personal","4","4","2","4","3","2","1","4","4","1","1","3","4","1","1","2","4","4","4","4","1","4","2","1","4","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:15:22 p. m. EET","Sí","Mujer","25-30","Cantabria","Posgrado","Medio","Soltero/a","Familia","Satisyer;Womanizer;Lover yoyo;Lelo;We-vibe","Sí","Ambas opciones","4","4","4","4","4","4","4","3","3","1","1","3","4","1","1","2","3","3","2","4","3","2","2","4","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:15:40 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","2","4","2","4","4","1","3","1","2","4","4","1","4","3","2","2","3","3","4","4","3","3","2","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:16:02 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Regalo","4","4","4","4","4","4","4","4","4","2","4","3","3","1","2","4","4","4","4","4","4","4","4","4","3","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:16:02 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","4","4","3","4","4","4","4","4","4","1","1","3","4","1","3","2","3","4","4","4","4","4","1","4","4","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:16:14 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","4","4","4","4","4","4","4","4","4","2","4","4","3","1","1","2","4","4","3","4","4","4","4","3","4","Entre 26 y 35€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:17:52 p. m. EET","Sí","Mujer","18-24","Islas Baleares","FP grado superior","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","3","3","3","4","4","4","3","4","1","4","3","4","1","3","3","4","3","4","2","4","3","1","2","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:18:18 p. m. EET","Sí","Mujer","25-30","Badajoz","Posgrado","Medio","Con pareja","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","3","3","3","2","2","1","1","3","3","3","2","3","2","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 4:20:15 p. m. EET","Sí","Mujer","31-38","Fuera de España","Maestría ","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","3","De 21 a 25€","Menos de 15€"
"2021/03/14 4:21:22 p. m. EET","Sí","Mujer","25-30","Jaén","Grado universitario","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","3","4","4","3","4","4","4","4","3","2","3","4","4","1","3","3","4","4","4","4","4","3","2","4","3","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:22:12 p. m. EET","Sí","Mujer","18-24","La Coruña","Grado universitario","Alto / Medio-alto","Soltero/a","Residencia","Satisyer;Lover yoyo;Lelo;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","3","2","1","4","2","4","3","4","1","1","De 21 a 25€","De 16 a 20€"
"2021/03/14 4:23:14 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","4","4","4","4","2","3","1","3","3","4","3","4","3","2","De 21 a 25€","Menos de 15€"
"2021/03/14 4:23:45 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","4","4","4","4","2","4","1","1","3","4","1","3","3","3","4","4","4","1","4","3","3","3","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:24:52 p. m. EET","Sí","Mujer","25-30","Ciudad Real","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","Sí","Regalo","4","4","1","4","4","4","4","1","1","1","1","2","4","1","1","3","1","2","4","4","4","2","1","2","1","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:25:32 p. m. EET","Sí","Mujer","31-38","Toledo","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","4","4","4","1","4","4","3","2","4","4","1","3","4","4","4","4","4","1","4","1","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:25:34 p. m. EET","Sí","Mujer","18-24","Navarra","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","2","3","4","1","3","3","4","1","1","4","4","4","4","4","4","4","3","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:25:38 p. m. EET","Sí","Mujer","18-24","Santa Cruz de Tenerife","Grado universitario","Alto / Medio-alto","Con pareja","Residencia","Satisyer;Lelo","Sí","Uso personal","4","3","3","3","3","4","3","3","4","2","2","3","2","1","3","2","4","4","4","3","1","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:26:30 p. m. EET","Sí","Mujer","31-38","Navarra","Grado universitario","Medio","Casado/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","1","4","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 4:26:42 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","3","4","3","4","4","3","4","1","3","4","4","4","4","2","4","4","1","2","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:29:47 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Soltero/a","Solo/a","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","1","4","3","1","1","3","4","4","4","4","3","4","4","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:36:00 p. m. EET","Sí","Mujer","18-24","Lérida (Lleida)","Grado universitario","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","2","3","4","2","2","1","2","2","3","2","2","2","3","4","1","De 16 a 20€","Menos de 15€"
"2021/03/14 4:36:00 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer;Lelo","Sí","Uso personal","4","4","4","4","4","4","4","2","3","2","1","3","4","1","1","3","4","4","4","4","4","3","1","4","4","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:36:06 p. m. EET","Sí","Mujer","18-24","Tarragona","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","4","4","3","1","1","3","3","4","4","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 4:36:38 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","2","4","2","4","4","1","3","1","2","4","4","1","4","3","2","2","3","3","4","4","3","3","2","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:37:42 p. m. EET","Sí","Mujer","25-30","Barcelona","Master","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","2","4","4","4","1","1","1","4","4","3","2","4","2","1","Más de 36€","Menos de 15€"
"2021/03/14 4:38:19 p. m. EET","Sí","Mujer","31-38","Guipúzcoa","Posgrado","Alto / Medio-alto","Soltero/a","Solo/a","Satisyer","Sí","Uso personal","4","4","4","4","3","3","3","2","3","2","2","3","4","1","2","3","4","3","3","3","2","3","2","3","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:40:12 p. m. EET","Sí","Mujer","18-24","Sevilla","Grado superior","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","3","4","4","4","4","4","4","4","2","2","3","4","1","2","4","4","4","4","4","1","4","1","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:40:21 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","Sí","Ambas opciones","4","1","4","4","4","4","1","4","4","1","1","2","4","1","4","4","4","4","4","4","4","4","3","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:40:38 p. m. EET","Sí","Mujer","31-38","Toledo","Posgrado","Medio","Casado/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","2","4","3","4","4","1","1","1","2","4","1","2","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 4:40:40 p. m. EET","Sí","Mujer","18-24","Burgos","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Uso personal","4","4","4","4","4","4","4","3","4","1","1","4","4","1","4","4","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:43:33 p. m. EET","Sí","Mujer","18-24","León","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","2","4","4","2","1","4","4","4","4","4","4","4","4","4","4","4","2","4","4","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:45:28 p. m. EET","Sí","Mujer","25-30","Vizcaya","Posgrado","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","3","3","2","1","2","4","1","3","3","4","3","4","4","4","3","3","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:46:43 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","3","3","4","3","2","1","3","3","4","4","3","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 4:50:14 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","4","2","2","1","4","3","4","4","2","1","3","De 26 a 30€","De 21 a 25€"
"2021/03/14 4:50:17 p. m. EET","Sí","Mujer","31-38","Barcelona","Máster ","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","3","3","1","3","3","4","4","4","3","1","De 16 a 20€","Menos de 15€"
"2021/03/14 4:54:23 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","4","2","4","1","1","3","4","3","4","4","3","3","4","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:55:40 p. m. EET","Sí","Mujer","18-24","Cantabria","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","3","4","4","1","4","4","1","1","4","3","1","3","3","3","4","4","4","1","4","1","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:55:44 p. m. EET","Sí","Mujer","31-38","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","2","2","4","3","3","1","1","1","3","2","1","4","1","1","Menos de 15€","De 16 a 20€"
"2021/03/14 4:57:50 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Regalo","4","4","4","3","4","4","4","3","4","1","2","2","3","1","1","4","4","4","4","4","1","4","4","2","4","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:58:07 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Regalo","4","4","4","3","4","4","4","3","4","1","2","2","3","1","1","4","4","4","4","4","1","4","4","2","4","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:58:10 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","4","4","3","3","2","De 26 a 30€","Menos de 15€"
"2021/03/14 4:58:32 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","1","3","3","4","2","1","1","1","3","1","2","1","3","1","1","Menos de 15€","Menos de 15€"
"2021/03/14 4:59:11 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Solo/a","Satisyer","Sí","Ambas opciones","4","4","3","2","4","4","3","2","3","2","1","3","3","1","2","3","4","4","4","4","1","4","2","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:59:16 p. m. EET","Sí","Mujer","18-24","Santa Cruz de Tenerife","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","3","4","4","4","4","4","3","4","3","3","4","1","1","3","4","4","4","4","2","4","2","3","3","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:00:55 p. m. EET","Sí","Mujer","18-24","León","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;Platanomelón ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","2","4","4","4","2","1","1","2","2","4","4","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 5:01:53 p. m. EET","Sí","Mujer","18-24","Sevilla","Grado universitario","Alto / Medio-alto","Soltero/a","Solo/a","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","1","3","4","1","1","1","3","1","1","1","1","4","1","1","Menos de 15€","De 31 a 35€"
"2021/03/14 5:01:58 p. m. EET","Sí","Mujer","18-24","Granada","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","3","4","2","3","3","4","1","3","3","3","3","3","4","4","4","3","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:02:39 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","4","4","4","1","1","3","4","1","1","3","4","3","3","4","4","3","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:03:21 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","4","3","4","4","2","3","4","2","1","4","3","1","1","4","4","4","4","4","2","4","2","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:04:05 p. m. EET","Sí","Mujer","18-24","Barcelona","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","2","2","1","4","4","3","4","4","2","2","De 26 a 30€","Menos de 15€"
"2021/03/14 5:05:26 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","3","3","4","3","2","2","1","4","3","3","3","4","2","2","De 26 a 30€","Menos de 15€"
"2021/03/14 5:05:50 p. m. EET","Sí","Mujer","18-24","Navarra","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","3","3","4","2","2","4","1","3","3","4","3","4","4","1","De 31 a 35€","Menos de 15€"
"2021/03/14 5:05:51 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","3","4","4","4","2","4","2","1","3","3","1","1","4","4","4","4","2","3","4","2","2","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:06:14 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Regalo","4","4","3","4","4","4","4","4","4","1","1","3","4","1","3","3","4","4","4","4","4","4","2","3","4","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:07:16 p. m. EET","Sí","Mujer","39 o más","Burgos","Grado universitario","Medio","Casado/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","1","Más de 36€","De 21 a 25€"
"2021/03/14 5:07:53 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Regalo","4","4","3","4","3","4","3","3","4","1","1","3","4","1","3","3","3","3","3","4","1","3","1","4","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:08:54 p. m. EET","Sí","Mujer","31-38","Navarra","Grado universitario","Medio","Casado/a","Familia","Satisyer;Lover yoyo","Sí","Regalo","4","4","3","4","3","4","3","2","4","3","1","3","4","1","1","3","4","4","3","3","1","4","2","4","4","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:08:56 p. m. EET","Sí","Mujer","31-38","Navarra","Posgrado","Medio","Casado/a","Familia","Satisyer;Womanizer","Sí","Regalo","4","4","4","3","4","4","3","2","4","3","2","4","4","1","1","3","4","4","4","4","1","4","3","4","4","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:08:56 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","1","3","3","4","2","1","1","1","3","1","2","1","3","1","1","Menos de 15€","Menos de 15€"
"2021/03/14 5:12:27 p. m. EET","Sí","Mujer","25-30","Islas Baleares","Educación Secundaria Obligatoria","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","3","4","3","1","1","1","4","3","4","3","4","2","2","De 16 a 20€","Menos de 15€"
"2021/03/14 5:15:14 p. m. EET","Sí","Mujer","31-38","Navarra","Bachillerato","Medio","Soltero/a","Solo/a","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","2","3","3","4","3","4","4","1","4","4","4","4","4","2","1","De 16 a 20€","Menos de 15€"
"2021/03/14 5:21:49 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","3","3","3","1","2","3","3","3","4","2","2","2","4","2","2","3","1","1","1","2","3","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:21:52 p. m. EET","Sí","Mujer","18-24","Toledo","Bachillerato","Medio","Soltero/a","Familia","Satisyer","Sí","Regalo","3","4","4","4","3","4","4","3","3","2","2","3","4","1","3","3","4","4","3","4","2","3","4","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:23:02 p. m. EET","Sí","Mujer","25-30","La Rioja","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","3","4","2","4","4","3","3","3","2","3","4","2","3","1","3","3","3","4","3","3","1","3","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:23:09 p. m. EET","Sí","Mujer","39 o más","Islas Baleares","Bachillerato","Medio","Soltero/a","Solo/a","Satisyer;Lelo;Tracy’s dog","Sí","Uso personal","4","4","4","4","4","4","4","2","3","1","1","3","4","1","1","3","3","3","3","4","1","3","2","3","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:23:43 p. m. EET","Sí","Mujer","18-24","Asturias","Posgrado","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","3","4","4","2","1","1","3","2","4","3","4","3","1","De 16 a 20€","Menos de 15€"
"2021/03/14 5:25:02 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","3","4","1","2","1","3","3","3","3","4","2","1","De 21 a 25€","De 21 a 25€"
